channel,source,type,convo,direction,user,contact,text,tags,convoCreatedAt,itemCreatedAt,external,firstReplyTimeSecs,firstReplyTimeMins,firstReplyTimeHours
twitter,message,tweet,https://reply.buffer.com/conversations/W0SxVuM-swAB4DWd,inbound,,WantRemoteJob (Want Remote Job?),"""New #remote #job Senior Cryptography Engineer at @firefox
https://t.co/GS0Cw8aDQI
#remotework #vacancy #remotejob #hiring""",EN,2018-07-10 13:15:01,2018-07-10 13:15:01,https://twitter.com/statuses/1016672140446314497,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0SwqOM-swAB4DV2,inbound,,NRueju (Rueju N),"""Open source isn’t just for software: Opensourcery recipe https://t.co/WVIs8nK0yw via @firefox""","EN,No Action Taken,Press Release",2018-07-10 13:12:07,2018-07-10 13:12:07,https://twitter.com/statuses/1016671409765076992,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0Sv2OM-swAB4DVf,inbound,,RandomFFUser (Random Firefox User),"""@SudoCat429 @firefox Hi please report this bug https://t.co/DU2snVs7hE If you can publish a Glitch project with the issue, it would be really awesome! #fxhelp""","EN,AoA",2018-07-10 13:08:37,2018-07-10 13:08:37,https://twitter.com/statuses/1016670528566853633,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0SsdMYREgABp1Ey,inbound,,Epringle365 (Evan Pringle),"""It’s cool that enabling private browsing can speed up your web browsing. My only issue is that sometimes it can break websites, and then it disconnects me from the experience @firefox 
https://t.co/7LfWjvJ2tF""","EN,No Action Taken,Press Release",2018-07-10 12:54:09,2018-07-10 12:54:09,https://twitter.com/statuses/1016666888884183042,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0SrnuM-swAB4DS8,inbound,,ITmixCZ (IT MIX CZ),"""News:Mozilla u mobilů zaspala. Napravit to má Fenix
https://t.co/3l7Vmxnx3N""","CZ,Android",2018-07-10 12:50:27,2018-07-10 12:50:27,https://twitter.com/statuses/1016665957148889090,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0SrjcYREgABp1EQ,inbound,,robrogan (💭),"""God damn I love @Mozilla —
Facebook Container Extension: Take control of how you’re being tracked https://t.co/b0qxvvBaBB via @firefox""","EN,Fan Luv,No Action Taken,Press Release,Help Me,Pending",2018-07-10 12:50:20,2018-07-10 12:50:20,https://twitter.com/statuses/1016665929177026561,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0SnxeM-swAB4DQ9,inbound,,AdrienneRoyer (Adrienne),"""@SissyWillis @rogerkimball @firefox It's an SSL issue. The site has a cheap cert, so browsers are no longer recogizing them.

https://t.co/Pu7NdhS3dJ""",EN,2018-07-10 12:34:11,2018-07-10 12:34:11,https://twitter.com/statuses/1016661864984563712,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0SnB8YREgABp1B-,inbound,,TeknolojiRadari (TeknolojiRadarı),"""Google Chrome'da Bulunan Bir Bug Nedeniyle Kullanıcıların Bilgileri Tehlikede
#mozilla#google  https://t.co/ZEwCyl26Ff""",TR,2018-07-10 12:30:52,2018-07-10 12:30:52,https://twitter.com/statuses/1016661029449883648,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0SmpQlOmgABS-Mw,inbound,,SissyWillis (Sissy Willis),"""Really? Am linking here to @rogerkimball in case he was unaware. Similar message via @firefox: ""Your connection is not secure. Owner of https://t.co/kQoZTlXOAW has configured website improperly. To protect your info from being stolen, Firefox has not connected to this website."" https://t.co/OPYqehGWay""","EN,Cert Issues,Help Me",2018-07-10 12:29:24,2018-07-10 12:29:24,https://twitter.com/statuses/1016660658803355648,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0SmlcYREgABp1Bs,inbound,,mosolicious (Morten Sørensen),"""@zgh94 @DuckDuckGo @FirefoxFocus Do @FirefoxFocus allow me to remove cookies on exit, and block third-party cookies? Or is this not implemented yet? Plus, I'll need my other addons, such as @HTTPSEverywhere and @PrivacyBadger since I don't trust @firefox to fully block everything (sorry guys, but I don't)""",EN,2018-07-10 12:29:07,2018-07-10 12:29:07,https://twitter.com/statuses/1016660587206594560,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0SlIwlOmgABS-MN,inbound,,zajda1985 (Lukáš Chroustovský),"""Mozilla u mobilů zaspala. Napravit to má Fenix https://t.co/KYKcrldwz5""","CZ,Android",2018-07-10 12:22:49,2018-07-10 12:22:49,https://twitter.com/statuses/1016659002078396416,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0Skl32-UgABSZM2,inbound,,Tecnobility (Tecnobility),"""Por fin @firefox y el lector de pantalla Jaws de @FreedomSci vuelven a ser compatibles. Una fantastica noticia para las personas con #discapacidad visual que utilizan esta #tecnología. Info del Cidat de la @ONCE_oficial #tecnologíaparatodos https://t.co/8RWorlS25k""","ES,Accessibility,No Action Taken",2018-07-10 12:20:38,2018-07-10 12:20:38,https://twitter.com/statuses/1016658452842799104,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0Sj5cYREgABp1AK,inbound,,alexsicart (Alex Sicart Ramos),"""Before using @brave I have as a default browser @firefox I miss one thing from it: Open Network Login tab. When going to a coffee bar is great to see it. @BrendanEich""","EN,No Action Taken,Help Me",2018-07-10 12:17:38,2018-07-10 12:17:38,https://twitter.com/statuses/1016657699533094912,,,
