text,tags,locale,convoCreatedAt
"""""When Google launched @googlechrome , it ... promoted open-source standards. Changes like this one [is evidence that Google is] slowly converting [the Web] from a neutral platform into [a proprietary one]."" Please use @firefox instead! https://t.co/MPKjMUDAJc""","EN,Fan Luv",en,2018-09-25 22:54:59
"""Sign of the cyber-times ... Great initiative Mozilla: Self-service scanning for data breaches @mozilla @firefox // CC @cyriseco https://t.co/bBotw0WPej""","EN,Press Release,No Action Taken",en,2018-09-25 22:53:15
"""@firefox Ya but you let it languish and it fell behind, it had its day""",EN,en,2018-09-25 22:52:15
"""@bai0 @firefox cc @mozillareality""",,en,2018-09-25 22:51:42
"""C maforo 🤣🤣🤣""",IT,it,2018-09-25 22:40:46
"""Dejé @googlechrome, consumo de batería excesivo en mi MacBook Pro. Bienvenido @firefox""",ES,es,2018-09-25 22:40:05
"""@hrcomeglio @googlechrome @firefox Sí. Está muy cool. Me ha gustado mucho.""",ES,es,2018-09-25 22:40:05
"""To any @firefox devs who might follow me, it seems there's a bug with ES6 module initialization - filed an issue here, would love to get some feedback!  https://t.co/5rXKzpzVJX""","EN,Fan Luv",en,2018-09-25 22:36:12
"""@ctavan @matthew_d_green @Firefox also has multi-account containers to stop tracking across tabs.

https://t.co/oHkiZnG2aD""",EN,en,2018-09-25 22:35:01
"""chrome's new update is insufferable but @firefox doesn't support the only search engine I'll use. 😡""","EN,Help Me",en,2018-09-25 22:25:16
"""@desilove oh! What search engine is that?""","EN,Help Me",en,2018-09-25 22:25:16
"""@firefox @swagbucks. All the documentation says it’s not a search engine but I’m looking at their search bar rn 😞😠""","EN,Help Me",en,2018-09-25 22:25:16
""".@firefox Monitor will let you know if your data has been stolen https://t.co/e8xJmTafXW #fb""",EN,en,2018-09-25 22:22:44
"""@DigitalTrends @firefox ...Or you could just enter your details into https://t.co/iZdmCEChEH!""",EN,en,2018-09-25 22:20:44
"""@DigitalTrends @firefox That's a great feature but so far out of all the browsers I get the most privacy out of Opera, literally I get 1-2 pieces of spy/malware every 2-3 weeks.  It is setup very differently (looks wise) so takes a bit of getting used to but I can use every chrome extension w/ it too.""",EN,en,2018-09-25 22:20:44
"""Your privacy and data are important. @firefox is helping keep them safe https://t.co/2rMDHqUzBP""",EN,en,2018-09-25 22:18:00
