channel,source,type,convo,direction,user,contact,text,tags,convoCreatedAt,itemCreatedAt,external,firstReplyTimeSecs,firstReplyTimeMins
twitter,message,tweet,https://reply.buffer.com/conversations/WzT5BDC1xAABh9U5,inbound,,MkllSUMO (Mkll),"""@TheCoop48 @mozilla @firefox That's not normal, and sounds like you could use a Refresh.

Here's how: https://t.co/tK3OZnHSQA

Also, try a malware scan with some anti-malware programs, as that might be causing the issue.

- Mkll #fxhelp""","EN,Help Me",2018-06-28 15:04:35,2018-06-28 15:04:35,https://twitter.com/statuses/1012351056792178689,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzT4zyOwpAABJmke,inbound,,SPF_NL (SPF),"""@Dr_JeffersonA Beste Jeff,  we hebben op dit moment problemen met inloggen via Chrome en Firefox. Als u met een andere browser inlogt, zult u deze foutmelding niet krijgen en kunt u uw gegevens zien. Onze excuses voor het ongemak. Met vriendelijke groet, Jacqueline""","EN,Help Me",2018-06-28 15:03:32,2018-06-28 15:03:32,https://twitter.com/statuses/1012350794807508993,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzT4cYI3eAABX9QX,inbound,,aborruso (Andrea Borruso),"""Firefox send, per la ""Condivisione di file riservata e crittata”. Uno dei test pilot di @firefox https://t.co/kqpqTt11vT https://t.co/2xqWw60Iyz""","EN,Help Me",2018-06-28 15:02:02,2018-06-28 15:02:02,https://twitter.com/statuses/1012350417076973569,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzT4ML4trQABa8Xn,inbound,,xTRlarge_Net (xTRlarge),"""Firefox firması tüm web gezginlerinin içlerinin rahat olmasını sağlayacak bir servis geliştirdi https://t.co/6BOvc0SmZJ""","EN,Help Me",2018-06-28 15:00:51,2018-06-28 15:00:51,https://twitter.com/statuses/1012350119688265728,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzT3-COwpAABJmj-,inbound,,eduqlm (Edu Lujan),"""@gorlok @jmlucero @firefox Por las pruebas que hice, Firefox era apenas mas lento en relación a Chrome, pero poniendo en la balanza el uso de memoria (MUY favorable a Firefox), prefiero perder unas milésimas a que se cuelgue la PC.""","EN,Help Me",2018-06-28 15:00:04,2018-06-28 15:00:04,https://twitter.com/statuses/1012349923050840070,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTwRiOwpAABJmg0,inbound,,aboutict (aboutict.nl),"""Mozilla geeft details over data verzamelen in testversies Firefox https://t.co/tOntQqOY7H https://t.co/8Kz2q919sh""","EN,Help Me",2018-06-28 14:27:07,2018-06-28 14:27:07,https://twitter.com/statuses/1012341629812789248,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTwIzC1xAABh9RK,inbound,,andreasgal (andreasgal),"""@amibendavid @BrendanEich @carlosdomingo At this trajectory more users will use Gecko via @KaiOStech and @Google than @mozilla and @firefox by early next year""","EN,Help Me",2018-06-28 14:26:42,2018-06-28 14:26:42,https://twitter.com/statuses/1012341522535075840,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTvV_T9WAABHiPc,inbound,,IvoKylian (Ivo Kylián),"""@petrsoukup Něco podobného hlásí cca měsíc Firefox. Pátral jsem po tom a zjistil jsem, že to blokuje můj Avast. Možná je to obdobný problém.""","EN,Help Me",2018-06-28 14:23:08,2018-06-28 14:23:08,https://twitter.com/statuses/1012340628095688704,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTvHCOwpAABJmgY,inbound,,DrLeonJ (Leon Jackson),"""@DrAndersIngram @googledrive @googlechrome @firefox Firefox and Dropbox ftw""","EN,Help Me",2018-06-28 14:22:10,2018-06-28 14:22:10,https://twitter.com/statuses/1012340381609091077,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTvCII3eAABX9M1,inbound,,hatniKS (hatniX),"""@openSUSE 's Update for @firefox 60.1 seems to be broken. Firefox can't play videostreams any more, like Netflix or Twitch (""renderer not available""). Any ideas?""","EN,Help Me",2018-06-28 14:21:58,2018-06-28 14:21:58,https://twitter.com/statuses/1012340334083432449,,
