name,percentage,conversations
EN,50.52,1029
Help Me,6.73,137
No Action Taken,6.48,132
Fan Luv,4.71,96
NL,3.83,78
TR,2.55,52
ES,2.55,52
Uncategorized,2.36,48
FR,1.82,37
AoA,1.62,33
Not Fan Luv,1.52,31
slow,1.33,27
Android,1.23,25
firefox android,1.18,24
CZ,1.03,21
DE,0.98,20
Bookmarks,0.79,16
Pending,0.74,15
Video,0.64,13
PT-BR,0.64,13
RAM,0.64,13
Press Release,0.59,12
Controversial,0.54,11
Sync,0.54,11
WebDev,0.34,7
Content Blocking,0.34,7
russian,0.29,6
Firefox Focus,0.29,6
Nightly,0.29,6
TrackingProtection,0.29,6
Cert Issues,0.25,5
VPN,0.25,5
Firefox Lite,0.2,4
Security,0.2,4
chinese,0.2,4
Firefox iOS,0.15,3
Crashes,0.15,3
contains_photo,0.15,3
monitor,0.15,3
dataloss,0.1,2
Firefox Rocket,0.1,2
Add-ons,0.1,2
reality,0.05,1
Klar,0.05,1
IT,0.05,1
CPU,0.05,1
performance,0.05,1
password,0.05,1
esr,0.05,1
AV,0.05,1
Pocket,0.05,1
cookies,0.05,1
NetNeutrality,0.05,1
Privacy,0.05,1
PL,0.05,1
